##For information about the Annotation file content, please see the bundled README file.
#%create_date=2009-03-02 PST 12:00:00
#%chip_type=HG-U133_Plus_2
#%genome-species=Homo sapiens
#%genome-version=NCBI Build 36.1
#%genome-version-ucsc=hg18
#%genome-version-ncbi=NCBI Build 36.1
#%genome-version-create_date=March 2006
#%netaffx-annotation-date=2009-03-16
#%netaffx-annotation-netaffx-build=28
#%netaffx-annotation-tabular-data-version=1.0
#%netaffx-annotation-tabular-format-version=1.0
Probe Set ID	Gene Symbol	Entrez Gene
1553162_x_at	C19orf55	148137
1553163_at	ADPRHL1	113622
1553165_at	AP1GBP1	11276
1553166_at	CDH24	64403
1553167_a_at	SEPSECS	51091
1553168_at	GRIK5	2901
1553169_at	LRRN4	164312
1553171_x_at	LRRN4	164312
1553172_at	ZNF777	27153
1553174_at	JPH2	57158
1553175_s_at	PDE5A	8654
1553176_at	SH2D1B	117157
1553177_at	SH2D1B	117157
1553178_a_at	SSTR3	6753
1553179_at	ADAMTS19	171019
1553180_at	ADAMTS19	171019
1553181_at	DDX31	64794
1553183_at	UMODL1	89766
1553185_at	RASEF	158158
1553186_x_at	RASEF	158158
1553188_s_at	PARD3B	117583
1553190_s_at	PARD3B	117583
1553191_at	DST	667
1553192_at	ZNF441	126068
1553193_at	ZNF441	126068
1553194_at	NEGR1	257194
1553196_a_at	FCRL3	115352
1553197_at	WDR21C	138009
1553199_at	WDR21C	138009
1553202_at	STOX1	219736
1553204_at	C20orf200	253868
1553205_at	C20orf200	253868
1553207_at	ARL10	285598
1553208_s_at	---	---
1553209_at	RNFT2	84900
1553211_at	ANKFN1	162282
1553212_at	KRT78	196374
1553213_a_at	KRT78	196374
1553214_a_at	CCDC7	221016
1553215_s_at	CCDC7	221016
1553216_at	ZNF41	7592
1553217_s_at	ZNF41	7592
1553218_a_at	ZNF512	84450
1553219_a_at	AMMECR1	9949
1553220_at	FAM117B	150864
1553221_at	ZNF583	147949
1553222_at	OXER1	165140
1553224_at	LUZP1	7798
1553225_s_at	ZNF75D	7626
1553226_at	NCRNA00052	145978
1553227_s_at	BRWD1	54014
1553228_at	CCDC89	220388
1553229_at	ZNF572	137209
1553232_at	FAM82A1	151393
1553234_at	ADAMTS18	170692
1553235_at	PCDHAC1	56135
1553237_x_at	PCDHAC1	56135
1553238_a_at	HIPK4	147746
1553239_at	FAM124A	220108
1553241_at	NKAIN3	286183
1553243_at	ITIH5	80760
1553244_at	FANCB	2187
1553246_a_at	SGK196	84197
1553247_a_at	ZNF709	163051
1553248_at	CCDC57	284001
1553249_at	SMC1B	27127
1553252_a_at	BRWD3	254065
1553253_at	ASB16	92591
1553254_at	MAGEE2	139599
1553255_at	FLJ32214	147664
1553257_at	GAL3ST3	89792
1553258_at	FLJ30679	146512
1553260_s_at	ALS2CR11	151254
1553261_x_at	ALS2CR11	151254
1553262_a_at	UTS2R	2837
1553263_at	USH1G	124590
1553264_a_at	SYN1	6853
1553265_at	SLC23A3	151295
1553266_at	CNOT6L	246175
1553267_a_at	CNOT6L	246175
1553268_at	RHBDL3	162494
1553269_at	ZNF718	255403
1553271_at	DIP2B	57609
1553272_at	SLC36A1	206358
1553274_a_at	SNRNP48	154007
1553275_s_at	---	---
1553276_at	ZNF560	147741
1553277_at	RTTN	25914
1553279_at	BTNL9	153579
1553280_at	PUS10	150962
1553281_at	PLCXD2	257068
1553282_at	C21orf128	150147
1553284_s_at	LMLN	89782
