PATIENT_ID	SAMPLE_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
KIT_41C65	KIT_41C65_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_46A25	KIT_46A25_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_48A46	KIT_48A46_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_51A98	KIT_51A98_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_53A06	KIT_53A06_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_55A79	KIT_55A79_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_56A94	KIT_56A94_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_63A62	KIT_63A62_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_64A59	KIT_64A59_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_67A43	KIT_67A43_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_69A93	KIT_69A93_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_6B85	KIT_6B85_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_71A50	KIT_71A50_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_72A92	KIT_72A92_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_76A44	KIT_76A44_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_77A50	KIT_77A50_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_79A35	KIT_79A35_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_7B96	KIT_7B96_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_82A83	KIT_82A83_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_84A44	KIT_84A44_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_85A03	KIT_85A03_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_8B87	KIT_8B87_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
KIT_96A21	KIT_96A21_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
OXFT_1070	OXFT_1070_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
OXFT_1089	OXFT_1089_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
OXFT_1097	OXFT_1097_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
OXFT_1103	OXFT_1103_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
OXFT_1107	OXFT_1107_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
OXFT_1120	OXFT_1120_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
OXFT_1125	OXFT_1125_SEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized using U133A GPL96 platform
