REPORTER ID 	miRNA ID
A_25_P00010464	hsa-miR-34b*
A_25_P00012287	hsa-miR-34c-3p
A_25_P00010756	hsa-miR-34c-5p
A_25_P00012305	hsa-miR-361-3p
A_25_P00010894	hsa-miR-361-5p
A_25_P00012312	hsa-miR-362-3p
A_25_P00010284	hsa-miR-362-5p
A_25_P00010954	hsa-miR-363
A_25_P00010041	hsa-miR-363*
A_25_P00014852	hsa-miR-365
A_25_P00010985	hsa-miR-367
A_25_P00013521	hsa-miR-367*
A_25_P00013991	hsa-miR-369-3p
A_25_P00010789	hsa-miR-369-5p
A_25_P00012320	hsa-miR-370
A_25_P00010160	hsa-miR-371-3p
A_25_P00012324	hsa-miR-371-5p
A_25_P00010258	hsa-miR-372
A_25_P00010156	hsa-miR-373
A_25_P00010841	hsa-miR-373*
A_25_P00010492	hsa-miR-374a
A_25_P00013524	hsa-miR-374a*
A_25_P00014916	hsa-miR-374b
A_25_P00013683	hsa-miR-374b*
A_25_P00010987	hsa-miR-375
A_25_P00010276	hsa-miR-376a
A_25_P00013529	hsa-miR-376a*
A_25_P00010063	hsa-miR-376b
A_25_P00012317	hsa-miR-376c
A_25_P00010126	hsa-miR-377
A_25_P00013533	hsa-miR-377*
A_25_P00012332	hsa-miR-378
A_25_P00010151	hsa-miR-378*
A_25_P00012338	hsa-miR-379
A_25_P00013536	hsa-miR-379*
A_25_P00010100	hsa-miR-380
A_25_P00010793	hsa-miR-380*
A_25_P00010182	hsa-miR-381
A_25_P00010586	hsa-miR-382
A_25_P00010385	hsa-miR-383
A_25_P00010971	hsa-miR-384
A_25_P00010408	hsa-miR-409-3p
A_25_P00012453	hsa-miR-409-5p
A_25_P00010198	hsa-miR-410
A_25_P00010604	hsa-miR-411
A_25_P00013652	hsa-miR-411*
A_25_P00010268	hsa-miR-412
A_25_P00010795	hsa-miR-421
A_25_P00012417	hsa-miR-422a
A_25_P00012422	hsa-miR-423-3p
A_25_P00012418	hsa-miR-423-5p
A_25_P00011109	hsa-miR-424
A_25_P00013561	hsa-miR-424*
A_25_P00010977	hsa-miR-425
A_25_P00013564	hsa-miR-425*
A_25_P00014860	hsa-miR-429
A_25_P00011083	hsa-miR-431
A_25_P00013578	hsa-miR-431*
A_25_P00010531	hsa-miR-432
A_25_P00010356	hsa-miR-432*
A_25_P00010158	hsa-miR-433
A_25_P00010444	hsa-miR-448
A_25_P00010220	hsa-miR-449a
A_25_P00010774	hsa-miR-449b
A_25_P00012437	hsa-miR-450a
A_25_P00012914	hsa-miR-450b-3p
A_25_P00012911	hsa-miR-450b-5p
A_25_P00012446	hsa-miR-451
A_25_P00014053	hsa-miR-452
A_25_P00013580	hsa-miR-452*
A_25_P00012442	hsa-miR-453
A_25_P00012871	hsa-miR-454
A_25_P00010766	hsa-miR-454*
A_25_P00012697	hsa-miR-455-3p
A_25_P00010595	hsa-miR-455-5p
A_25_P00012462	hsa-miR-483-3p
A_25_P00012459	hsa-miR-483-5p
A_25_P00010431	hsa-miR-484
A_25_P00010360	hsa-miR-485-3p
A_25_P00010708	hsa-miR-485-5p
A_25_P00012467	hsa-miR-486-3p
A_25_P00010644	hsa-miR-486-5p
A_25_P00010090	hsa-miR-487a
A_25_P00010113	hsa-miR-487b
A_25_P00012472	hsa-miR-488
A_25_P00011119	hsa-miR-488*
A_25_P00010829	hsa-miR-489
A_25_P00010507	hsa-miR-490-3p
A_25_P00012474	hsa-miR-490-5p
A_25_P00012487	hsa-miR-491-3p
A_25_P00012482	hsa-miR-491-5p
A_25_P00010093	hsa-miR-492
A_25_P00012498	hsa-miR-493
A_25_P00010120	hsa-miR-493*
A_25_P00012505	hsa-miR-494
A_25_P00012508	hsa-miR-495
A_25_P00010721	hsa-miR-496
A_25_P00010130	hsa-miR-497
A_25_P00013598	hsa-miR-497*
A_25_P00010687	hsa-miR-498
A_25_P00012629	hsa-miR-499-3p
A_25_P00012625	hsa-miR-499-5p
A_25_P00012631	hsa-miR-500
A_25_P00010501	hsa-miR-500*
A_25_P00012640	hsa-miR-501-3p
A_25_P00011042	hsa-miR-501-5p
A_25_P00012647	hsa-miR-502-3p
A_25_P00010959	hsa-miR-502-5p
A_25_P00010657	hsa-miR-503
A_25_P00012651	hsa-miR-504
A_25_P00012654	hsa-miR-505
A_25_P00013605	hsa-miR-505*
A_25_P00011037	hsa-miR-506
A_25_P00011112	hsa-miR-507
A_25_P00011040	hsa-miR-508-3p
A_25_P00012666	hsa-miR-508-5p
A_25_P00014918	hsa-miR-509-3-5p
A_25_P00012677	hsa-miR-509-3p
A_25_P00012674	hsa-miR-509-5p
A_25_P00012682	hsa-miR-510
A_25_P00011061	hsa-miR-511
A_25_P00010710	hsa-miR-512-3p
A_25_P00010693	hsa-miR-512-5p
A_25_P00014889	hsa-miR-513a-3p
A_25_P00014886	hsa-miR-513a-5p
A_25_P00014968	hsa-miR-513b
A_25_P00014971	hsa-miR-513c
A_25_P00012685	hsa-miR-514
A_25_P00012520	hsa-miR-515-3p
A_25_P00014099	hsa-miR-515-5p
A_25_P00010235	hsa-miR-516a-3p
A_25_P00014151	hsa-miR-516a-5p
A_25_P00010035	hsa-miR-516b
A_25_P00010352	hsa-miR-517*
A_25_P00012576	hsa-miR-517a
A_25_P00010051	hsa-miR-517b
A_25_P00010167	hsa-miR-517c
A_25_P00011009	hsa-miR-518a-3p
A_25_P00010245	hsa-miR-518b
A_25_P00012567	hsa-miR-518c
A_25_P00010496	hsa-miR-518c*
A_25_P00010804	hsa-miR-518d-3p
A_25_P00014877	hsa-miR-518d-5p
A_25_P00012596	hsa-miR-518e
A_25_P00014869	hsa-miR-518e*
A_25_P00014875	hsa-miR-518f
A_25_P00013602	hsa-miR-518f*
A_25_P00012613	hsa-miR-519a
A_25_P00012543	hsa-miR-519b-3p
A_25_P00010428	hsa-miR-519c-3p
A_25_P00014130	hsa-miR-519d
A_25_P00012524	hsa-miR-519e
A_25_P00010696	hsa-miR-519e*
A_25_P00010201	hsa-miR-520a-3p
A_25_P00010329	hsa-miR-520a-5p
A_25_P00010564	hsa-miR-520b
A_25_P00012562	hsa-miR-520c-3p
