Reporter ID	miRNA ID
A_25_P00013178	hsa-miR-22*
A_25_P00012938	hsa-miR-888
A_25_P00010130	hsa-miR-497
A_25_P00011973	hsa-miR-768-3p_v11.0
A_25_P00010764	hsa-miR-147
A_25_P00011374	hsa-miR-649
A_25_P00010528	hsa-miR-206
A_25_P00010284	hsa-miR-362-5p
A_25_P00010063	hsa-miR-376b
A_25_P00014175	hsa-miR-509-5p
A_25_P00013699	hcmv-miR-US33-3p
A_25_P00013263	hsa-miR-105*
A_25_P00011131	hsa-miR-559
A_25_P00012034	hsa-miR-96
A_25_P00011998	hsa-miR-26a
A_25_P00010200	hsa-miR-520a-3p
A_25_P00013723	ebv-miR-BART1-3p
A_25_P00012885	hsa-miR-300
A_25_P00012231	hsa-miR-134
A_25_P00010789	hsa-miR-369-5p
A_25_P00012312	hsa-miR-362-3p
A_25_P00012995	hsa-miR-885-3p
A_25_P00011251	hsa-miR-578
A_25_P00012613	hsa-miR-517c
A_25_P00010198	hsa-miR-410
A_25_P00011832	ebv-miR-BART11-3p
A_25_P00010126	hsa-miR-377
A_25_P00012991	hsa-miR-885-5p
A_25_P00012895	hsa-miR-886-5p
A_25_P00013268	hsa-miR-16-2*
A_25_P00012754	hsa-miR-548b-5p
A_25_P00010666	hsa-miR-662
A_25_P00013345	hsa-miR-221*
A_25_P00010431	hsa-miR-484
A_25_P00011238	hsa-miR-612
A_25_P00010504	hsa-miR-205
A_25_P00013235	hsa-miR-93*
A_25_P00010054	hsa-miR-29b
A_25_P00011385	hsa-miR-603
A_25_P00013104	hsa-miR-944
A_25_P00012576	hsa-miR-517a
A_25_P00011098	hsa-miR-659
A_25_P00012855	hsa-miR-654-3p
A_25_P00010088	hsa-let-7f
A_25_P00010503	hsa-miR-205
A_25_P00012188	hsa-miR-144
A_25_P00010620	hsa-miR-302b
A_25_P00011818	kshv-miR-K12-10b
A_25_P00013133	hsa-let-7f-1*
A_25_P00010514	hsa-miR-577
A_25_P00010263	hsa-miR-328
A_25_P00011446	hsa-miR-587
A_25_P00012625	hsa-miR-499-5p
A_25_P00010599	hsa-miR-16
A_25_P00013423	hsa-miR-144*
A_25_P00010993	hsa-miR-645
A_25_P00013346	hsa-miR-221*
A_25_P00010234	hsa-miR-516a-3p
A_25_P00011097	hsa-miR-572
A_25_P00013772	ebv-miR-BART17-3p
A_25_P00012524	hsa-miR-519e
A_25_P00013394	hsa-miR-125b-1*
A_25_P00013502	hsa-miR-130b*
A_25_P00010917	hsa-miR-650
A_25_P00010342	hsa-miR-219-5p
A_25_P00010781	hsa-miR-646
A_25_P00010079	hsa-miR-146a
A_25_P00011097	hsa-miR-572
A_25_P00011388	hsa-miR-562
A_25_P00010446	hsa-miR-299-5p
A_25_P00013712	ebv-miR-BHRF1-3
A_25_P00012938	hsa-miR-888
A_25_P00012333	hsa-miR-378
A_25_P00013400	hsa-miR-132*
A_25_P00011663	ebv-miR-BART3
A_25_P00012567	hsa-miR-518c
A_25_P00011408	hsa-miR-593*
A_25_P00013991	hsa-miR-369-3p
A_25_P00011663	ebv-miR-BART3
A_25_P00012550	hsa-miR-525-3p
A_25_P00012468	hsa-miR-486-3p
A_25_P00012246	hsa-miR-188-5p
A_25_P00013325	hsa-miR-187*
A_25_P00010742	hsa-miR-548c-3p
A_25_P00010490	hsa-miR-150
A_25_P00013696	hcmv-miR-US33-3p
A_25_P00010804	hsa-miR-518d-3p
A_25_P00010471	hsa-miR-99a
A_25_P00011234	hsa-miR-626
A_25_P00011884	ebv-miR-BART14*
A_25_P00013118	hsa-let-7b*
A_25_P00013375	hsa-miR-23b*
A_25_P00014955	hsa-miR-1236
A_25_P00013570	hsa-miR-18b*
A_25_P00013097	hsa-miR-942
A_25_P00010223	hsa-miR-648
A_25_P00010448	hsa-miR-550*
A_25_P00011866	kshv-miR-K12-11
A_25_P00013253	hsa-miR-29b-1*
A_25_P00011733	kshv-miR-K12-5
A_25_P00012860	hsa-miR-671-5p
A_25_P00012900	hsa-miR-892a
A_25_P00010201	hsa-miR-520a-3p
A_25_P00012965	hsa-miR-876-3p
A_25_P00013408	hsa-miR-138-2*
A_25_P00012626	hsa-miR-499-3p
A_25_P00010288	hsa-miR-181c
A_25_P00013548	hsa-miR-135b*
A_25_P00011069	hsa-miR-107
A_25_P00013709	ebv-miR-BHRF1-2
A_25_P00013321	hsa-miR-183*
A_25_P00010977	hsa-miR-425
A_25_P00014999	hsa-miR-877*
A_25_P00013365	hsa-let-7i*
A_25_P00011117	hsa-miR-331-3p
A_25_P00011040	hsa-miR-508-3p
A_25_P00010096	hsa-miR-626
A_25_P00010093	hsa-miR-492
A_25_P00010152	hsa-miR-378*
