"##For information about the Annotation file content,  please see the bundled README file."		
#%create_date=2009-11-13 GMT-08:00 20:57:17		
#%chip_type=HT_HG-U133A		
#%genome-species=Homo sapiens		
#%genome-version=hg19		
#%genome-version-ucsc=hg19		
#%genome-version-ncbi=GRCh37		
#%genome-version-create_date=2009-02-00		
#%netaffx-annotation-date=2009-11-23		
#%netaffx-annotation-netaffx-build=30		
#%netaffx-annotation-tabular-format-version=1.0		
Probe Set ID	Gene Symbol	Entrez Gene
200865_at	EIF3F	8665
200866_s_at	PSAP	5660
200867_at	RNF114	55905
200868_s_at	RNF114	55905
200869_at	RPL18A /// RPL18AP3	390354 /// 6142
200870_at	STRAP	11171
200871_s_at	PSAP	5660
200872_at	S100A10	6281
200873_s_at	CCT8	10694
200874_s_at	NOP56	10528
200875_s_at	NOP56	10528
200876_s_at	PSMB1	5689
200877_at	CCT4	10575
200878_at	EPAS1	2034
200879_s_at	EPAS1	2034
200880_at	DNAJA1	3301
200881_s_at	DNAJA1	3301
200882_s_at	PSMD4	5710
200883_at	UQCRC2	7385
200884_at	CKB	1152
200885_at	RHOC	389
200886_s_at	PGAM1	5223
200887_s_at	STAT1	6772
200888_s_at	RPL23	9349
200889_s_at	SSR1	6745
200890_s_at	SSR1	6745
200891_s_at	SSR1	6745
200892_s_at	TRA2B	6434
200893_at	TRA2B	6434
200894_s_at	FKBP4	2288
200895_s_at	FKBP4	2288
200896_x_at	HDGF	3068
200897_s_at	PALLD	23022
200898_s_at	MGEA5	10724
200899_s_at	MGEA5	10724
200900_s_at	M6PR	4074
200901_s_at	M6PR	4074
200902_at	15-Sep	9403
200903_s_at	AHCY	191
200904_at	HLA-E	3133
200905_x_at	HLA-E	3133
200906_s_at	PALLD	23022
200907_s_at	PALLD	23022
200908_s_at	RPLP2	6181
200909_s_at	RPLP2	6181
200910_at	CCT3	7203
200911_s_at	TACC1	6867
200912_s_at	EIF4A2	1974
200913_at	PPM1G	5496
200914_x_at	KTN1	3895
200915_x_at	KTN1	3895
200916_at	TAGLN2	8407
200917_s_at	SRPR	6734
200918_s_at	SRPR	6734
200919_at	PHC2	1912
200920_s_at	BTG1	694
200921_s_at	BTG1	694
200922_at	KDELR1	10945
200923_at	LGALS3BP	3959
200924_s_at	SLC3A2	6520
200925_at	COX6A1	1337
200926_at	RPS23	6228
200927_s_at	RAB14	51552
200928_s_at	RAB14	51552
200929_at	TMED10	10972
200930_s_at	VCL	7414
200931_s_at	VCL	7414
200932_s_at	DCTN2	10540
200933_x_at	RPS4X	6191
200934_at	DEK	7913
200935_at	CALR	811
200936_at	RPL8	6132
200937_s_at	RPL5	6125
200938_s_at	RERE	473
200939_s_at	RERE	473
200940_s_at	RERE	473
200941_at	HSBP1	3281
200942_s_at	HSBP1	3281
200943_at	HMGN1	3150
200944_s_at	HMGN1	3150
200945_s_at	SEC31A	22872
200946_x_at	GLUD1	2746
200947_s_at	GLUD1	2746
200948_at	MLF2	8079
200949_x_at	RPS20	6224
200950_at	ARPC1A	10552
200951_s_at	CCND2	894
200952_s_at	CCND2	894
200953_s_at	CCND2	894
200954_at	ATP6V0C	527
200955_at	IMMT	10989
200956_s_at	SSRP1	6749
200957_s_at	SSRP1	6749
200958_s_at	SDCBP	6386
200959_at	FUS	2521
200960_x_at	CLTA	1211
200961_at	SEPHS2	22928
200962_at	RPL31	6160
200963_x_at	RPL31	6160
200964_at	UBA1	7317
200965_s_at	ABLIM1	3983
200966_x_at	ALDOA	226
200967_at	PPIB	5479
200968_s_at	PPIB	5479
200969_at	SERP1	27230
200970_s_at	SERP1	27230
200971_s_at	SERP1	27230
200972_at	TSPAN3	10099
200973_s_at	TSPAN3	10099
200974_at	ACTA2	59
200975_at	PPT1	5538
200976_s_at	TAX1BP1	8887
200977_s_at	TAX1BP1	8887
200978_at	MDH1	4190
200979_at	PDHA1	5160
200980_s_at	PDHA1	5160
200981_x_at	GNAS	2778
200982_s_at	ANXA6	309
200983_x_at	CD59	966
200984_s_at	CD59	966
200985_s_at	CD59	966
200986_at	SERPING1	710
200987_x_at	PSME3	10197
200988_s_at	PSME3	10197
200989_at	HIF1A	3091
200990_at	TRIM28	10155
200991_s_at	SNX17	9784
200992_at	IPO7	10527
200993_at	IPO7	10527
200994_at	IPO7	10527
200995_at	IPO7	10527
200996_at	ACTR3	10096
200997_at	RBM4	5936
200998_s_at	CKAP4	10970
200999_s_at	CKAP4	10970
201000_at	AARS	16
201001_s_at	TMEM189-UBE2V1 /// UBE2V1	387522 /// 7335
201002_s_at	TMEM189-UBE2V1 /// UBE2V1	387522 /// 7335
201003_x_at	RNPEP /// TMEM189 /// TMEM189-UBE2V1 /// UBE2V1	387521 /// 387522 /// 6051 /// 7335
201004_at	SSR4	6748
201005_at	CD9	928
201006_at	PRDX2	7001
201007_at	HADHB	3032
201008_s_at	TXNIP	10628
201009_s_at	TXNIP	10628
201010_s_at	TXNIP	10628
201011_at	RPN1	6184
201012_at	ANXA1	301
201013_s_at	PAICS	10606
201014_s_at	PAICS	10606
201015_s_at	JUP	3728
201016_at	EIF1AX	1964
201017_at	EIF1AX	1964
201018_at	EIF1AX	1964
201019_s_at	EIF1AP1 /// EIF1AX	1964 /// 280661
201020_at	YWHAH	7533
201021_s_at	DSTN	11034
201022_s_at	DSTN	11034
201023_at	TAF7	6879
201024_x_at	EIF5B	9669
201025_at	EIF5B	9669
201026_at	EIF5B	9669
201027_s_at	EIF5B	9669
201028_s_at	CD99	4267
201029_s_at	CD99	4267
201030_x_at	LDHB	3945
201031_s_at	HNRNPH1	3187
201032_at	BLCAP	10904
201033_x_at	RPLP0	6175
201034_at	ADD3	120
201035_s_at	HADH	3033
201036_s_at	HADH	3033
201037_at	PFKP	5214
201038_s_at	ANP32A	8125
201039_s_at	RAD23A	5886
201040_at	GNAI2	2771
201041_s_at	DUSP1	1843
201042_at	TGM2	7052
201043_s_at	ANP32A	8125
201044_x_at	DUSP1	1843
201045_s_at	RAB6A	5870
201046_s_at	RAD23A	5886
201047_x_at	RAB6A	5870
201048_x_at	RAB6A	5870
201049_s_at	RPS18	6222
201050_at	PLD3	23646
