FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3322_308.0983	0.3322	308.0983	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.2818_309.1059	2.2818	309.1059	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.9545_309.1453	4.9545	309.1453	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3065_310.7937	0.3065	310.7937	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2588_310.9288	0.2588	310.9288	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6919_311.0672	3.6919	311.0672	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.6751_311.1214	2.6751	311.1214	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2888_312.876	0.2888	312.876	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.3704_313.1199	5.3704	313.1199	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.2089_314.1404	5.2089	314.1404	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3966_314.8777	0.3966	314.8777	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.6743_315.1545	2.6743	315.1545	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2641_316.9477	0.2641	316.9477	
